featuretype,count,fclass,fclass_label,status
Selva,1,L,Landscape / region,include
Seno,1,H,Water body,include
Camino,1,R,Road / route,include
Casta,1,,,include
Morro,1,T,Terrestrial landform,include
Confluente,1,H,Water body,include
Feudo,1,A,Administrative,include
Pueblo Fortaleza,1,P,Populated place,include
Torreón,1,S,Site / structure,include
Hermita,1,S,Site / structure,include
Colegio,1,S,Site / structure,include
Ciudad Presidio,1,P,Populated place,include
Peñas,1,T,Terrestrial landform,include
Rancho,1,P,Populated place,include
Mote,1,,,include
ISla,1,T,Terrestrial landform,include
Lugar,1,P,Populated place,include
Costa,1,T,Terrestrial landform,include
Plantación,1,S,Site / structure,include
Obrage,1,S,Site / structure,include
Tierra,1,L,Landscape / region,include
Rocas,1,T,Terrestrial landform,include
Caida,1,,,include
Archipiélago,1,T,Terrestrial landform,include
Ciudad Colonia,1,P,Populated place,include
Pueblo Colonia,1,P,Populated place,include
Murallón de peña,1,T,Terrestrial landform,include
Ciudades,1,P,Populated place,include
Ramo,1,S,Site / structure,include
Colinas,1,T,Terrestrial landform,include
Torrente,1,H,Water body,include
Raza,1,,,include
Villa Fuerte,1,P,Populated place,include
