id	title	title_source	title_uri	ccodes	fclasses	types	lat	lon	geowkt	start	end	links	description	approximation
id_04633	Coro			CO	P	Pueblo	1.039700	-76.590600		1786	1789		Tiene el mismo nombre un Pueblo de la Provincia y Corregimiento de Pastos en el Reyno de Quito , situado a la orilla del río Cascabeles , donde entra en el Caquetá .	geo:sfWithin
id_04634	Coro			BO	P	Pueblo	-18.353500	-67.703800		1786	1789	indias:8000324	Otro de la Provincia y Corregimiento de Carangas en el Perú , y del Arzobispado de Charcas , anexo al Curato de Corquemar .	geo:sfWithin
id_04635	Grande Coroa			BR	P	Pueblo	-3.936100	-54.323700		1786	1789		Pueblo de la Provincia y Capitanía del Pará en el Brasil , situado a orilla del río Tocantines .	geo:sfWithin
id_04636	Coro			BR	H	Baxo	-1.990600	-55.385100		1786	1789		Tiene el mismo nombre un baxo grande cerca de la Costa de la Provincia y Capitanía del Marañan en el Brasil , a la entrada del río Coras .	geo:sfWithin
id_04638	Corobamba			PE	P	Pueblo	-5.966300	-77.945400		1786	1789	indias:6001263	Pueblo de la Provincia y Corregimiento de Chachapoyas en el Perú , en el qual se venera una milagrosa Imagen de Nuestra Señora de Guadalupe, y cerca hay dos cuebas a los lados, que en cada una caben 50 hombres a caballo con lanzas levantadas.	
id_04640	Corobana			VE	H	Rio	5.310000	-60.988400		1786	1789		Río de Provincia y Gobierno de la Guayana , que según Mr. Bellin en su Carta e Historia del curso de una parte del Orinoco , corre siempre al N, y entra en este cerca de su salida al mar.	geo:sfWithin
id_04642	Corocoto			AR	P	Villa	-33.465000	-67.593900		1786	1789	indias:9000077	Villa de la misma Provincia y Corregimiento , reducción de Indios Pampas, situada a orilla del río Tunuyan , cerca del camino real que va de Mendoza a Buenos-Ayres , en cuyo distrito están las haciendas de Carrizal grande , Carvalillo , Lulunta y Mendocinos .	
id_04643	Corocubi			BR	H	Rio	-3.935300	-54.322900		1786	1789		Río de la Provincia y País de las Amazonas en la parte que poseen los Portugueses: es pequeño, corre al S, y entra en el Negro , formando un peligroso remolino o raudal que tiene el mismo nombre.	geo:sfWithin
id_04644	Coroi				P	Pueblo	4.902100	-52.236900		1786	1789		Pueblo de las Misiones que tienen los Fran ceses en la Guayana , situado cerca de la Costa y de la boca del río Kourrou .	geo:sfWithin
id_04645	Coroico			BO	P	Pueblo	-16.188600	-67.727700		1786	1789	indias:8000144	Pueblo de la Provincia y Corregimiento de Cicasica en el Perú , situado a orilla del río de su nombre, donde tiene un Puerto para embarcaciones pequeñas: éste nace en la Cordillera de Ancuma al S del Pueblo de Palca , y a Levante de la Ciudad de la Paz ; corre muy rápido al E, y formando un arco tuerce al N, y entra por la orilla Occidental en el Beni en 15 grad. 31 min. de lat. austr.	
id_04646	Coroma			BO	P	Pueblo	-19.529700	-66.813900		1786	1789	indias:8000173	Pueblo de la Provincia y Corregimiento de Porco en el Perú .	
id_04647	Coromandieres			US	T	Islotes	39.483100	-87.317200		1786	1789		Islotes de la mar del N , cerca de la Costa de Acádia en la América Septentrional , junto a la de Scatari , llamados también boca del Infierno .	geo:sfWithin
id_04648	Coromoto			VE	P	Pueblo	8.915500	-69.773000		1786	1789		Pueblo de la Provincia y Gobierno de Venezuela , situado a orilla del río Guanarito , al S de la Villa de Guanaro .	crm:P189_approximates
id_04649	Coron			PE	P	Pueblo	-13.753100	-72.108000		1786	1789	indias:6000310	Pueblo de la Provincia y Corregimiento de Chilques y Masques en el Perú , anexo al Curato de Huanoquite .	
id_04651	Corona real			VE	H	Ensenada	8.911300	-71.386400		1786	1789		Tiene el mismo nombre Una Ensenada grande en la laguna de Maracaybo , a la banda del O.	geo:sfWithin
id_04652	Corona real			FR	T	Isleta	16.341900	-61.505600		1786	1789		Una Isleta de roca o peñasco, junto a la Costa del N de la Isla de Guadalupe , entre el Cabo de San Juan , y el Puerto o Bahía de la Mole .	geo:sfWithin
