entry_id	volume	entrytype	majortype	form_lemma	sense_text
id_01658	1	Toponym	settlement		Otro en la Provincia y Corregimiento de Rancagua , en el Reyno de Chile .
id_01659	1	Toponym	natural_feature		Un Río de la Provincia y Corregimiento de Cuenca , en el Reyno de Quito , nace en los Páramos de la Cordillera, toma el nombre del Pueblo llamado así, y pasa un quarto de legua de la Ciudad de Cuenca .
id_01660	1	Toponym	human_group	BANOMAS	Nación bárbara de Indios que habita los bosques del río Marañon , en la Provincia de Quito : eran confinantes de los Omaguas y Aysuares, los reduxo a la fe católica y a vivir en Población el célebre Misionero y Matemático de la Compañía de Jesús, Samuel Frit, el año de 1683.
id_01661	1	Toponym	natural_feature	BANTAN	Baxo o Islote de Peña de la Costa del Sur de la Nueva Escocia , entre los Cabos Negre y de Sable .
id_01662	1	Toponym	settlement	BANTRY	Ciudad pequeña del Condado de Suffolck , en la Nueva Inglaterra , donde hay una escuela pública.
id_01663	1	Toponym	natural_feature	BAQUERIA	territorio de la Provincia y Capitanía del Rey , en el Brasil y País de los Indios Guanoas.
id_01664	1	Toponym	natural_feature		Tiene el mismo nombre otro territorio dilatado de la Provincia y Gobierno del Paraguay , entre los ríos Alboapioni y Yucas .
id_01665	1	Toponym	natural_feature	BAR	Río pequeño de la Nueva Escocia , corre al S y sale al mar en la Bahía de Fundy .
id_01666	1	Toponym	settlement	BARA	Pueblo de la Provincia y Gobierno de Ve nezuela , en el Reyno de Tierra Firme , situado en la costa del mar, cerca del río Guaique .
id_01667	1	Toponym	settlement	BARACOA	Ciudad de la Isla de Cuba ; tiene un mediano Puerto en la costa septentrional.
id_01668	1	Toponym	natural_feature		Tiene el mismo nombre un Puerto de las Misiones que tienen los Padres Carmelitas Portugueses, en el País de las Amazonas , situado a las orillas del río Negro .
id_01669	1	Toponym	settlement	BARADERO	Pueblo de la Provincia y Gobierno de Mainas , en el Reyno de Quito , uno de los de las Misiones que tenían los Regulares de la Compañía.
id_01670	1	Toponym	settlement		Tiene el mismo nombre con la advocación de Santiago, otro Pueblo de la Provincia y Gobierno de Buenos Ayres , situado al Poniente de su Capital, poco distante del río.
id_01671	1	Toponym	natural_feature		Una ensenada de la costa del Brasil a en la Capitanía del Rey , entre la laguna de los Difuntos , y la isleta de Castillos Chicos .
id_01672	1	Toponym	natural_feature	BARADEROS	Puerto de la costa de la Provincia y Gobierno de Yucatán , cerca del río de Champoton .
id_01673	1	Toponym	natural_feature		Tiene el mismo nombre una Bahía en la costa del N de la cabeza del O de la Isla de Santo Domingo , en la parte que poseen los Franceses entre el Bec de Marsowin y el Petit Trou .
id_01674	1	Toponym	settlement	BARAGUA	Pueblo de la Provincia y Gobierno de Venezuela , en el Reyno de Tierra Firme , situado a la orilla del Río Tucuyo , y al N de la Ciudad de Bariquisimeto .
id_01675	1	Toponym	settlement	BARANOA	Pueblo de la Provincia y Gobierno de Cartagena , en el Reyno de Tierra Firme , situado a la orilla de un arroyo que sale de la Ciénega de Turbaco a el mar.
id_01676	1	Toponym	settlement	BARAONA	Pueblo de la Provincia y Gobierno de Quixos y Macas , en el Reyno de Quito .
id_01677	1	Toponym	settlement	BARARAUA	Pueblo de los Portugueses, en la Provincia y País de las Amazonas , situado a la orilla del río Negro .
id_01678	1	Toponym	natural_feature	BARBA	Cabo de la costa de Tierra Firme , en la Provincia y Gobierno de Santiago de Veragua , en la mar del Sur , una de las que forman la ensenada de la Soledad .
id_01679	1	Toponym	natural_feature	BARBACOA	Isla de la mar del N , en la Provincia y Gobierno del Darién , situada dentro del golfo del mismo nombre, cerca de la costa y en frente de la boca del río del Chocó .
id_01680	1	Toponym	natural_feature		Tiene el mismo nombre una punta de tierra en la costa de la Provincia y Gobierno de Cartagena entre la boca de Matuna , y la Isla de Barú .
id_01681	1	Toponym	settlement		Un Pueblo de la Isla de Santo Domingo , situado en la cabeza del E, a orilla de la ensenada de su nombre.
