id	title	title_source	title_uri	ccodes	fclasses	types	lat	lon	geowkt	start	end	links	description	approximation
id_08085	Santo Tomás Ixtlan			MX	P	Pueblo	17.330600	-96.487200		1786	1789	indias:1002231	Otro Pueblo hay de este nombre, con la advocación de Santo Tomás, Cabecera de partido de la Alcaldía mayor de Antequera en el mismo Reyno, y de la Provincia y Obispado de Oaxaca , es de temperamento templado, y tiene 500 familias de Indios exercitados en el cultivo de la grana, de que hacen su comercio: está 8 leguas al Oriente de la Capital.	
id_07466	San Luis Huari			PE	P	Pueblo	-9.094500	-77.329100		1786	1789	indias:6001023	Otro Pueblo hay del mismo nombre con la advocación de San Luis en la Provincia y Corregimiento de Conchucos en el mismo Reyno.	
id_12009	Paime			CO	P	Pueblo	5.370400	-74.152700		1786	1789	indias:5000483	Pueblo de la jurisdicción de Muzo y Corregimiento de Tunja en el Nuevo Reyno de Granada , tiene 150 vecinos que viven de sembrar y cultivar cañas dulces, algodón, y demás frutos de tierra caliente y templada.	
id_03290	Chacanora			PE	P	Pueblo	-7.197300	-78.425200		1786	1789		Pueblo de la Provincia y Corregimiento de Caxamarca en el mismo Reyno.	
id_04343	Colqui			BO	P	Pueblo	-17.392700	-67.125400		1786	1789	indias:8000446	Pueblo de la Provincia y Corregimiento de Cicasica en el Perú , anexo al Curato de Mohosa en la de Cochabamba .	
id_01510	Azozalco			MX	P	Pueblo Cabecera	18.512800	-99.660300		1786	1789	indias:1001457	Pueblo y Cabecera de Partido de la Alcaldía mayor y jurisdicción de Tasco , en Nueva España : Tiene 40 familias de Indios, y dista 3 leguas al SSE de su capital.	
id_16902a	Tula			MX	P	Pueblo Capital	20.054200	-99.341700		1786	1789	indias:1000110	La Capital es el Pueblo de su mismo nombre, de benigno temperamento, fértil y abundante en frutas, granos y semillas; tiene un Convento de Religiosos de San Francisco y 280 familias de Indios, sin otras muchas que lo habitan de Españoles, Mestizos y Mulatos ; es la Población más antigua de la Nueva España , fundada por los Tultecas: está 14 leguas al N, 1/4 al NO de México , en 274 gr. 10 min. de long. y en 20 gr. 9 min. de lat. los otros Pueblos de esta jurisdicción se reducen a Michimaloya ....	
id_12409	Pasca			CO	P	Pueblo	4.308800	-74.300100		1786	1789	indias:5000742	Pueblo Cabeza de partido del Corregimiento de este nombre en el Nuevo Reyno de Granada , es de temperamento benigno, abundante en frutos de tierra cálida y fria; pero muy sano: está 16 leguas al S de Santa Fe .	
id_00267	San Agustín			MX	P	Pueblo	16.401400	-97.807800		1786	1789	indias:1002431	Otro en la Cabecera de Partido de Pinoteca , y Alcaldía mayor de Xicayán : tiene 70 familias de Indios que comercian en grana, semillas y tabaco, y dista 4 leguas al N de su Cabecera.	
id_14655	Sangolica			MX	P	Pueblo	18.666100	-96.997200		1786	1789	indias:1004273	Pueblo de la Provincia y Alcaldía mayor de Oaxaca en Nueva España , situado cerca del de Jalapa .	
id_01921	San Bernardo Abad			CO	P	Pueblo	9.352900	-75.953900		1786	1789	indias:5000131	San BERNARDO, Abad) Pueblo de la Provincia y Gobierno de Cartagena , una de las nuevas poblaciones que fundó el año de 1776 D. Juan Pimienta, está cerca de la costa del mar, entre las puntas de piedras y de venados.	
id_16162	San Andrés de Teutalpan			MX	P	Pueblo Cabecera	20.026700	-97.696400		1786	1789	indias:1003774	Pueblo y Cabeza de partido de la Alcaldía mayor de Zacatlán en Nueva España , tiene 445 familias de Indios en que se incluyen los Pueblos de su distrito.	
id_03501	Chaulan			PE	P	Pueblo	-10.131500	-76.399300		1786	1789	indias:6001087	Pueblo de la Provincia y Corregimiento de Huanuco en el Perú , anexo al Curato de Huacar .	
